Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,37.650002,37.650002,35.980000,36.200001,34.899872,22380700
2019-07-26,36.480000,37.080002,36.009998,36.849998,35.526527,23826000
2019-07-29,36.759998,37.270000,36.450001,37.000000,35.671139,20228700
2019-07-30,36.799999,36.799999,35.660000,35.770000,34.485321,44206600
2019-07-31,35.740002,35.779999,34.700001,34.820000,33.569431,35542000
2019-08-01,35.209999,36.119999,34.880001,34.880001,33.641769,32801400
2019-08-02,35.000000,35.200001,34.580002,34.930000,33.689999,27808000
2019-08-05,34.200001,34.720001,34.040001,34.450001,33.227036,21294600
2019-08-06,34.939999,35.490002,34.799999,35.490002,34.230118,17746200
2019-08-07,35.070000,36.799999,34.959999,36.799999,35.493610,32065800
2019-08-08,37.000000,37.349998,36.669998,37.000000,35.686504,30196800
2019-08-09,36.990002,37.000000,36.349998,36.720001,35.416458,11884800
2019-08-12,36.000000,36.040001,35.189999,35.200001,33.950413,20246800
2019-08-13,35.180000,36.119999,35.119999,35.889999,34.615913,13635000
2019-08-14,35.400002,35.570000,35.020000,35.099998,33.853958,20769200
2019-08-15,35.480000,35.480000,34.810001,35.000000,33.757504,19086500
2019-08-16,34.799999,34.860001,34.130001,34.349998,33.657177,14343000
2019-08-19,34.650002,34.869999,33.910000,34.200001,33.510208,22628600
2019-08-20,34.369999,34.450001,33.549999,33.820000,33.137871,17302100
2019-08-21,34.189999,34.340000,33.759998,34.080002,33.392628,19548800
2019-08-22,34.150002,34.330002,33.500000,33.540001,32.863514,13552000
2019-08-23,33.090000,33.900002,32.930000,33.150002,32.481380,26285900
2019-08-26,33.410000,33.430000,32.689999,33.139999,32.471584,17811500
2019-08-27,33.150002,33.930000,33.080002,33.529999,32.853714,28587300
2019-08-28,33.220001,34.090000,33.160000,33.910000,33.226055,14492900
2019-08-29,34.049999,34.470001,33.540001,34.090000,33.402420,16919500
2019-08-30,34.529999,34.560001,33.779999,33.939999,33.255444,25311700
2019-09-02,33.900002,34.189999,33.500000,33.500000,32.838833,8366100
2019-09-03,33.509998,33.810001,32.770000,32.860001,32.211468,19116300
2019-09-04,33.279999,33.310001,32.810001,33.090000,32.436920,15409600
2019-09-05,33.419998,34.660000,33.389999,34.029999,33.358376,42036200
2019-09-06,34.250000,35.230000,34.250000,35.169998,34.475868,21399400
2019-09-09,35.369999,36.299999,35.360001,36.029999,35.318901,34847900
2019-09-10,36.110001,36.290001,35.090000,35.330002,34.632717,22274700
2019-09-11,35.509998,35.680000,34.990002,35.169998,34.475868,16367700
2019-09-12,35.500000,35.599998,35.150002,35.389999,34.691532,13645700
2019-09-13,35.509998,36.410000,35.509998,35.869999,35.162056,25083000
2019-09-16,35.529999,35.619999,34.910000,35.230000,34.534687,20161300
2019-09-17,34.900002,35.450001,34.869999,35.360001,34.662121,12250100
2019-09-18,35.369999,35.639999,34.830002,35.250000,34.554302,13316300
2019-09-19,35.540001,35.830002,34.520000,34.660000,33.975945,17989000
2019-09-20,34.880001,35.099998,34.619999,34.750000,34.064159,32900200
2019-09-23,34.700001,34.720001,34.200001,34.639999,33.956341,13212100
2019-09-24,34.820000,34.889999,34.110001,34.279999,33.603432,10497600
2019-09-25,34.189999,34.919998,34.049999,34.680000,33.995544,14271700
2019-09-26,34.880001,35.700001,34.599998,35.680000,34.975807,18669400
2019-09-27,35.590000,35.639999,34.970001,35.529999,34.828766,16175900
2019-09-30,35.549999,35.790001,35.029999,35.029999,34.338638,15985400
2019-10-01,35.220001,35.310001,34.200001,34.220001,33.558990,17096300
2019-10-02,33.849998,33.939999,33.119999,33.279999,32.637150,23731200
2019-10-03,33.240002,33.599998,32.849998,33.290001,32.646961,21920200
2019-10-04,33.230000,33.500000,32.770000,33.450001,32.803871,25181500
2019-10-07,33.290001,33.639999,32.779999,32.830002,32.195847,15574100
2019-10-08,33.119999,33.270000,32.560001,32.689999,32.058544,14886100
2019-10-09,32.990002,33.439999,32.630001,33.209999,32.568497,12442900
2019-10-10,33.099998,33.560001,33.009998,33.450001,32.803871,10893700
2019-10-11,33.599998,34.279999,33.590000,33.880001,33.225563,19970500
2019-10-14,33.810001,34.540001,33.720001,34.450001,33.784550,10268800
2019-10-15,34.480000,34.639999,34.189999,34.369999,33.706097,15976800
2019-10-16,34.470001,34.980000,33.830002,34.860001,34.186630,17662300
2019-10-17,34.849998,35.130001,34.320000,34.650002,33.980686,17054300
2019-10-18,34.619999,34.619999,34.150002,34.240002,33.578613,11418100
2019-10-21,34.259998,34.869999,33.990002,34.799999,34.127785,16378000
2019-10-22,34.770000,35.889999,34.669998,35.880001,35.186932,35538100
2019-10-23,35.590000,36.750000,35.509998,36.389999,35.687069,34380200
2019-10-24,36.459999,36.830002,36.130001,36.560001,35.853790,27250700
2019-10-25,36.549999,37.130001,36.340000,36.799999,36.089157,18955500
2019-10-28,36.650002,37.529999,36.529999,37.299999,36.579502,20976400
2019-10-29,37.090000,37.230000,36.570000,36.639999,35.932247,16557800
2019-10-30,36.470001,37.000000,35.910000,36.869999,36.157806,23575800
2019-10-31,36.299999,36.669998,35.680000,36.230000,35.530170,26038300
2019-11-01,36.660000,36.910000,35.910000,36.349998,35.662621,18958400
2019-11-04,36.450001,36.750000,36.240002,36.470001,35.780342,10065400
2019-11-05,37.639999,37.990002,36.799999,37.099998,36.398426,46982800
2019-11-06,37.099998,37.360001,36.570000,36.599998,35.907890,19030900
2019-11-07,36.779999,36.950001,36.570000,36.820000,36.123730,15689500
2019-11-08,36.360001,36.779999,36.020000,36.270000,35.584133,15088000
2019-11-11,36.200001,36.799999,35.900002,36.430000,35.741100,17480000
2019-11-12,36.020000,36.290001,35.430000,35.810001,35.132828,19644000
2019-11-13,35.669998,35.840000,35.180000,35.450001,34.779633,17688000
2019-11-14,35.500000,35.790001,35.160000,35.680000,35.005280,14012300
2019-11-18,36.000000,36.200001,35.480000,35.520000,34.848312,13345400
2019-11-19,35.500000,35.599998,34.849998,35.130001,34.465691,17887600
2019-11-21,35.130001,35.500000,35.029999,35.490002,34.818878,26063800
2019-11-22,35.259998,35.830002,35.209999,35.730000,35.054337,16433000
2019-11-25,35.790001,35.900002,35.009998,35.220001,34.553982,15202500
2019-11-26,35.000000,35.090000,34.349998,34.500000,33.847599,26176400
2019-11-27,34.700001,34.930000,34.259998,34.700001,34.043812,19366600
2019-11-28,34.450001,34.700001,34.020000,34.599998,33.945709,15850200
2019-11-29,34.669998,34.830002,34.299999,34.799999,34.141926,16530900
2019-12-02,34.919998,35.520000,34.840000,35.279999,34.627773,16447900
2019-12-03,35.590000,35.709999,34.910000,35.290001,34.637592,15999200
2019-12-04,35.389999,36.570000,35.299999,36.560001,35.884113,34060300
2019-12-05,36.369999,37.070000,36.299999,36.509998,35.835033,29077100
2019-12-06,36.500000,36.680000,35.849998,35.849998,35.187237,28794200
2019-12-09,36.000000,36.880001,35.770000,36.549999,35.874298,26700900
2019-12-10,36.549999,36.770000,35.779999,36.020000,35.354095,21527300
2019-12-11,36.500000,36.669998,35.560001,35.599998,34.941856,37043600
2019-12-12,35.950001,36.090000,35.349998,35.590000,34.932045,23355500
2019-12-13,35.799999,36.369999,35.349998,36.310001,35.676384,27255500
2019-12-16,36.439999,36.639999,35.480000,35.480000,34.860867,21663700
2019-12-17,35.750000,36.279999,35.540001,36.020000,35.391449,19250800
2019-12-18,35.919998,36.750000,35.730000,36.480000,35.843418,40451900
2019-12-19,36.160000,36.709999,36.110001,36.660000,36.020279,22053300
2019-12-20,36.630001,36.700001,36.299999,36.500000,35.863064,24863500
2019-12-23,36.500000,36.840000,36.310001,36.840000,36.197132,11691500
2019-12-26,36.799999,37.400002,36.650002,37.400002,36.747360,16333100
2019-12-27,37.500000,37.689999,36.910000,37.299999,36.649109,13455300
2019-12-30,37.340000,37.590000,36.860001,37.099998,36.452602,9225800
2020-01-02,37.279999,38.029999,36.990002,38.029999,37.381481,20666100
2020-01-03,37.500000,38.240002,37.450001,37.630001,36.988304,24891400
2020-01-06,37.549999,37.580002,36.910000,37.070000,36.437855,22294700
2020-01-07,37.070000,37.240002,36.209999,36.209999,35.592525,20000900
2020-01-08,36.450001,36.810001,35.619999,35.619999,35.012581,25980900
2020-01-09,35.790001,35.930000,34.520000,34.910000,34.314690,48423800
2020-01-10,35.080002,35.450001,34.570000,34.599998,34.009972,25521600
2020-01-13,35.020000,35.400002,34.740002,35.060001,34.462132,29200700
2020-01-14,34.919998,35.060001,34.630001,35.060001,34.462132,18433300
2020-01-15,34.889999,34.939999,34.400002,34.630001,34.039467,32757500
2020-01-16,34.900002,35.070000,34.419998,34.700001,34.108273,22857500
2020-01-17,34.900002,35.299999,34.730000,34.939999,34.344181,19722900
2020-01-20,34.799999,35.000000,34.160000,34.230000,33.646286,18322200
2020-01-21,34.009998,34.480000,33.439999,33.500000,32.928726,26878100
2020-01-22,33.849998,34.070000,33.500000,33.700001,33.125320,17443500
2020-01-23,33.500000,34.810001,33.400002,34.500000,33.911682,33077600
2020-01-24,34.610001,34.619999,33.950001,34.240002,33.656116,14756100
2020-01-27,33.740002,34.090000,33.410000,33.500000,32.928726,14387100
2020-01-28,33.770000,33.970001,33.299999,33.490002,32.918907,17185400
2020-01-29,33.689999,33.790001,32.919998,32.970001,32.407768,20071400
2020-01-30,32.650002,33.450001,32.580002,33.450001,32.879589,41789800
2020-01-31,32.990002,33.389999,32.540001,32.820000,32.260330,25459800
2020-02-03,33.000000,33.310001,32.790001,32.900002,32.353752,17586000
2020-02-04,33.360001,33.459999,32.900002,33.160000,32.609436,15730300
2020-02-05,33.709999,34.119999,33.360001,33.360001,32.806114,34791900
2020-02-06,33.700001,33.740002,33.110001,33.279999,32.727440,26487800
2020-02-07,33.049999,34.150002,33.000000,33.709999,33.150307,37117000
2020-02-10,33.730000,34.570000,33.680000,34.279999,33.710842,46013800
2020-02-11,35.160000,35.450001,34.639999,35.070000,34.487724,95513900
2020-02-12,35.169998,35.480000,34.759998,34.930000,34.350048,66278200
2020-02-13,34.709999,34.790001,34.200001,34.389999,33.819012,20284500
2020-02-14,34.270000,34.400002,33.669998,33.810001,33.248646,31505400
2020-02-17,33.990002,33.990002,33.360001,33.500000,32.943783,32235000
2020-02-18,33.380001,33.740002,32.970001,33.639999,33.081463,23950000
2020-02-19,33.700001,34.419998,33.520000,34.119999,33.553493,19774200
2020-02-20,34.230000,34.270000,33.830002,34.000000,33.435490,48008700
2020-02-21,32.779999,32.900002,32.450001,32.680000,32.600719,19501200
2020-02-26,null,null,null,null,null,null
2020-02-27,30.700001,32.330002,30.570000,31.070000,30.994625,61009500
2020-02-28,31.100000,32.080002,30.799999,32.000000,31.922369,56066500
2020-03-02,31.930000,32.290001,31.270000,31.879999,31.817574,51275400
2020-03-03,31.650000,31.969999,30.959999,31.299999,31.238708,43691000
2020-03-04,31.809999,31.830000,30.930000,31.600000,31.538122,31229900
2020-03-05,31.260000,31.490000,30.180000,30.520000,30.460238,30407300
2020-03-06,29.600000,30.350000,29.320000,29.870001,29.811510,32428300
2020-03-09,28.000000,28.450001,27.370001,27.799999,27.745564,47479600
2020-03-10,29.500000,29.700001,27.580000,28.490000,28.434212,44566300
2020-03-11,27.799999,28.139999,25.030001,26.170000,26.118753,48242100
2020-03-12,23.200001,24.559999,22.410000,23.600000,23.553787,58487200
2020-03-13,26.940001,27.180000,23.650000,26.209999,26.158674,89695700
2020-03-16,23.500000,25.660000,22.719999,23.799999,23.753395,62416000
2020-03-17,24.510000,26.709999,23.500000,25.200001,25.150656,70493400
2020-03-18,23.969999,24.250000,21.540001,23.450001,23.404079,83737300
2020-03-19,22.770000,23.730000,21.129999,22.850000,22.805254,73652600
2020-03-20,23.389999,23.969999,21.600000,22.049999,22.006821,73398600
2020-03-23,22.260000,22.490000,20.000000,20.520000,20.479820,53457900
2020-03-24,21.700001,23.280001,21.500000,22.500000,22.455942,51467700
2020-03-25,22.230000,24.730000,22.010000,23.600000,23.553787,43889700
2020-03-26,24.230000,24.820000,23.719999,24.250000,24.202515,50777700
2020-03-27,23.020000,24.020000,22.510000,22.969999,22.925020,41981300
2020-03-30,23.110001,24.389999,22.830000,24.110001,24.062790,30225500
2020-03-31,23.950001,24.250000,22.809999,23.090000,23.044786,40625200
2020-04-01,22.219999,22.379999,21.190001,21.400000,21.371979,44343800
2020-04-02,21.379999,22.000000,21.150000,21.500000,21.471848,39156300
2020-04-03,21.420000,21.480000,20.010000,20.660000,20.632948,37393100
2020-04-06,22.139999,22.680000,21.889999,22.180000,22.150959,39305700
2020-04-07,23.500000,23.879999,22.920000,23.000000,22.969885,38049700
2020-04-08,23.010000,24.389999,22.940001,24.180000,24.148338,40947000
2020-04-09,24.459999,24.700001,23.500000,23.500000,23.469229,37307000
2020-04-13,23.450001,24.000000,23.020000,24.000000,23.968575,21602700
2020-04-14,24.459999,25.150000,24.299999,24.299999,24.268181,33766100
2020-04-15,23.850000,24.480000,23.370001,23.400000,23.369360,34845100
2020-04-16,23.700001,23.820000,22.799999,22.809999,22.780132,31071300
2020-04-17,23.440001,23.610001,22.610001,23.219999,23.189596,25164100
2020-04-20,22.719999,22.969999,22.500000,22.639999,22.610355,28583800
2020-04-22,22.400000,23.129999,22.209999,22.370001,22.340710,48051200
2020-04-23,22.660000,22.740000,21.840000,22.049999,22.021126,41455100
